emi,month,n_valid_minutes,kc_mean,kc_std,kc_p10,kc_p25,kc_p50,kc_p75,kc_p90,frac_kc_gt_1,kc_clip_count,mean_abs_delta_kc
EMI01,2025-12,20875,0.592071724801,0.338551588681,0.181814376561,0.34061070773,0.52306035317,0.847570973775,1.06986856179,0.14902994012,280,0.0347673705734
EMI01,2026-01,19933,0.637957000204,0.325490839884,0.234149681146,0.401383372906,0.580958365318,0.889276203609,1.07745832817,0.159835448753,228,0.0437099077139
EMI01,2026-02,18827,0.555995406715,0.335162242329,0.16262342234,0.303944275048,0.492551909072,0.7635620899,1.06382043922,0.135921814415,133,0.0381628108566
EMI01,2026-03,20806,0.657369423657,0.350579023126,0.21319675707,0.379562405561,0.602931624673,0.95797458976,1.13900780715,0.212342593483,270,0.047461839305
EMI01,2026-04,16585,0.682580811285,0.383864109529,0.195490166315,0.337067824341,0.701088239715,1.01137037017,1.14188427625,0.263732288212,269,0.0631934584049
EMI01,2026-05,9215,0.560164876761,0.386249336511,0.0860039296481,0.250240224869,0.462728473157,0.923914705666,1.10477200822,0.19175257732,65,0.0483368194958
EMI01,2026-06,13390,0.664777188613,0.415858717353,0,0.330476622623,0.635063889038,1.04306611609,1.1945731203,0.281254667662,166,0.098586639841
EMI02,2025-12,20862,0.625228021511,0.352732631433,0.197030024692,0.364213732918,0.554441064397,0.894640152765,1.13380822644,0.184737800786,302,0.0365053687204
EMI02,2026-01,20934,0.680307968507,0.329956378823,0.277512907527,0.43004624988,0.618399213022,0.957798761147,1.12960058424,0.216489920703,241,0.0454327233577
EMI02,2026-02,15562,0.5708629784,0.347982571806,0.163319265061,0.305146608806,0.503083263005,0.807233814808,1.0984390972,0.16610975453,148,0.0364065555849
EMI02,2026-03,16,0.854776372514,0.115060060557,0.719855182183,0.761547833247,0.841938444208,0.939232770967,1.00801109255,0.125,0,0.0243023197456
EMI02,2026-05,397,0.251888278403,0.19502157302,0.139782715743,0.144517924753,0.166136295111,0.254165761044,0.586783587107,0.0100755667506,0,0.0100707456223
EMI02,2026-06,13602,0.786639142273,0.426424823286,0.24392184938,0.398145436493,0.757288837784,1.16807451639,1.3547338238,0.391045434495,721,0.0867819967243
EMI03,2025-12,20879,0.576967260509,0.32121301396,0.18619622476,0.34245659218,0.521686547278,0.804933305674,1.03632063102,0.116432779348,132,0.0355955890364
EMI03,2026-01,20930,0.634334597432,0.310665854461,0.261577771204,0.405194745406,0.570796138713,0.866589608335,1.08897396683,0.158241758242,89,0.0440171647788
EMI03,2026-02,18845,0.546466987498,0.331894127336,0.161694598613,0.303405519059,0.477456433979,0.744569600765,1.05332483481,0.128203767578,103,0.037566511014
EMI03,2026-03,20820,0.638912356662,0.337774951604,0.211088272677,0.375738501633,0.586531907467,0.922560093329,1.10707349086,0.179058597502,140,0.0461626676916
EMI03,2026-04,20106,0.650992556453,0.374121898088,0.192763568844,0.320413637166,0.606791078441,1.01909152168,1.12556597456,0.274345966378,186,0.0583645795174
EMI03,2026-05,20632,0.596485505817,0.374596063341,0.139844965481,0.294048306622,0.512828297034,0.920013125174,1.1367491891,0.217477704537,155,0.0509233868476
EMI03,2026-06,19941,0.732794712186,0.390036156936,0.247987746429,0.38112478535,0.682514298846,1.1059330419,1.22964562287,0.342159370142,423,0.0808161487327
EMI04,2025-12,20880,0.605112473308,0.338112362159,0.195291684426,0.358617837853,0.54251048575,0.853072134997,1.10337681418,0.156034482759,194,0.0365941354905
EMI04,2026-01,20935,0.6775091359,0.331332084068,0.271500654894,0.425774869099,0.610267124339,0.951409915881,1.14234512398,0.218008120373,131,0.0481078431552
EMI04,2026-02,18853,0.588357837077,0.354342534792,0.171548603623,0.323913632348,0.515504504622,0.819094569207,1.13159150399,0.176205378454,198,0.0389971834647
EMI04,2026-03,20821,0.689877642823,0.364556952086,0.22263813182,0.398039356168,0.634627061579,1.01079789847,1.19251117773,0.258585082369,296,0.0490333728808
EMI04,2026-04,20113,0.719214130538,0.412091996076,0.204443430873,0.342892322732,0.691909255973,1.09731045044,1.22178018138,0.360463381892,508,0.0625865796369
EMI04,2026-05,20629,0.631234256392,0.398298710426,0.142608353304,0.305825585225,0.532190631977,1.01708639807,1.18421159506,0.2644335644,315,0.0532486409792
EMI04,2026-06,19940,0.744709035949,0.389808770418,0.250298481396,0.386083216049,0.71331363628,1.1022288557,1.22410550528,0.355416248746,523,0.0826109890217
EMI05,2025-12,5391,0.459771845911,0.231560543373,0.163035163088,0.27356812461,0.467753696673,0.639827203686,0.741267938938,0.0111296605454,0,0.0240533031416
EMI05,2026-01,20897,0.681464580564,0.353705066747,0.256964186357,0.400830193317,0.60547941455,0.972400118885,1.18420770401,0.234196296119,326,0.0466095212818
EMI05,2026-02,18915,0.60689089428,0.364681298806,0.176872972588,0.332911533158,0.53332724874,0.847976336647,1.16221193147,0.189426381179,292,0.039792990507
EMI05,2026-03,20848,0.708276479589,0.371256101719,0.230017587602,0.411489767494,0.657756071631,1.02951715929,1.21328637652,0.274318879509,424,0.0491444480244
EMI05,2026-04,20109,0.74105518457,0.42005148497,0.210816097362,0.35852095358,0.709732512917,1.11694766096,1.24782982121,0.398030732508,709,0.060051620986
EMI05,2026-05,20712,0.663878781416,0.414736304911,0.145772071219,0.325165871983,0.563776109818,1.08099492397,1.22497731867,0.295625724218,525,0.0529527415677
EMI05,2026-06,19994,0.791872230681,0.407524207686,0.271200850384,0.418771529409,0.769308242233,1.15987748575,1.30188607531,0.401970591177,816,0.0874054532638
