emi,channel_key,month,days_in_data,days_with_any_event,daylight_minutes,daylight_coverage_strict,daylight_coverage_zoh
EMI02,RSI_01,2025-12,31,31,22581,0.347415969178,0.660643904167
EMI02,RSI_01,2026-01,31,31,22568,0.410138248848,0.731433888692
EMI02,RSI_01,2026-02,28,23,20332,0.300216407633,0.521345662011
EMI02,RSI_01,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,RSI_01,2026-04,30,0,21694,0,0
EMI02,RSI_01,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,RSI_01,2026-06,30,30,21648,0.261640798226,0.464754249815
EMI02,RSI_02,2025-12,31,31,22581,0.339223240778,0.614321774944
EMI02,RSI_02,2026-01,31,31,22568,0.382399858206,0.695143566111
EMI02,RSI_02,2026-02,28,21,20332,0.254574070431,0.468965178044
EMI02,RSI_02,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,RSI_02,2026-04,30,0,21694,0,0
EMI02,RSI_02,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,RSI_02,2026-06,30,30,21648,0.253972653363,0.447847376201
EMI02,RSI_03,2025-12,31,31,22581,0.320800673132,0.599707718879
EMI02,RSI_03,2026-01,31,31,22568,0.372740163063,0.679457639135
EMI02,RSI_03,2026-02,28,22,20332,0.264017312611,0.484556364352
EMI02,RSI_03,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,RSI_03,2026-04,30,0,21694,0,0
EMI02,RSI_03,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,RSI_03,2026-06,30,30,21648,0.263627124908,0.463922764228
EMI03,DHI,2025-12,31,31,22581,0.8831318365,0.976041805057
EMI03,DHI,2026-01,31,31,22568,0.912486706842,0.981522509748
EMI03,DHI,2026-02,28,28,20332,0.884271099744,0.975801691914
EMI03,DHI,2026-03,31,31,22463,0.909183991453,0.983483951387
EMI03,DHI,2026-04,30,30,21694,0.918548907532,0.986678344243
EMI03,DHI,2026-05,31,31,22383,0.899343251575,0.980386900773
EMI03,DHI,2026-06,30,30,21648,0.931725794531,0.989375461936
EMI03,DNIcosZ,2025-12,31,1,22581,0.0030556662681,0.00385279659891
EMI03,DNIcosZ,2026-01,31,0,22568,0,0
EMI03,DNIcosZ,2026-02,28,3,20332,0.0160830218375,0.0200177060791
EMI03,DNIcosZ,2026-03,31,8,22463,0.00324978854116,0.0101500244847
EMI03,DNIcosZ,2026-04,30,2,21694,0.00147506222919,0.00322669862635
EMI03,DNIcosZ,2026-05,31,13,22383,0.00214448465353,0.0218916141715
EMI03,DNIcosZ,2026-06,30,30,21648,0.00808388765706,0.0738174427199
EMI03,GHI,2025-12,31,31,22581,0.876887648908,0.975288959745
EMI03,GHI,2026-01,31,31,22568,0.902871322226,0.979705778093
EMI03,GHI,2026-02,28,28,20332,0.872860515444,0.974473735983
EMI03,GHI,2026-03,31,31,22463,0.898633308107,0.979922539287
EMI03,GHI,2026-04,30,30,21694,0.902830275652,0.982760210196
EMI03,GHI,2026-05,31,31,22383,0.882946879328,0.976500022338
EMI03,GHI,2026-06,30,30,21648,0.915696600148,0.98572616408
EMI03,POA,2025-12,31,0,22581,0,0
EMI03,POA,2026-01,31,0,22568,0,0
EMI03,POA,2026-02,28,0,20332,0,0
EMI03,POA,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI03,POA,2026-04,30,0,21694,0,0
EMI03,POA,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI03,POA,2026-06,30,30,21648,0.00517368810052,0.0693366592757
EMI03,RSI_01,2025-12,31,0,22581,0,0
EMI03,RSI_01,2026-01,31,0,22568,0,0
EMI03,RSI_01,2026-02,28,0,20332,0,0
EMI03,RSI_01,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI03,RSI_01,2026-04,30,0,21694,0,0
EMI03,RSI_01,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI03,RSI_01,2026-06,30,30,21648,0.00517368810052,0.0693366592757
