emi,month,n_minutes,frac_clear,frac_mostly_clear,frac_partly_cloudy,frac_overcast,frac_highly_variable,frac_unknown
EMI01,2025-12,22581,0.113369647048,0.0635047163545,0.206589610735,0.317612151809,0.2233736327,0.0755502413534
EMI01,2026-01,22568,0.111219425736,0.0684597660404,0.234136830911,0.217210209146,0.252215526409,0.116758241758
EMI01,2026-02,20332,0.0727916584694,0.0339858351367,0.205341333858,0.360072791658,0.253787133583,0.0740212472949
EMI01,2026-03,22463,0.132840671326,0.0565374170859,0.195922183146,0.23385122201,0.307082758314,0.0737657481191
EMI01,2026-04,21694,0.129943763253,0.046925417166,0.0692818290772,0.178574721121,0.339771365354,0.235502904029
EMI01,2026-05,22383,0.040521824599,0.0149220390475,0.0474020461958,0.145288835277,0.163561631595,0.588303623286
EMI01,2026-06,21648,0.0682280118256,0.0159830007391,0.0591740576497,0.103427568367,0.371720251293,0.381467110126
EMI02,2025-12,22581,0.125548027102,0.056773393561,0.21681944998,0.282538417253,0.242194765511,0.0761259465923
EMI02,2026-01,22568,0.135501595179,0.0631868131868,0.247385678837,0.205467919178,0.276054590571,0.0724034030486
EMI02,2026-02,20332,0.0729392091285,0.029706866024,0.165453472359,0.293035608892,0.204259295692,0.234605547905
EMI02,2026-03,22463,0.000267105907492,0.000267105907492,0.000178070604995,0,0,0.99928771758
EMI02,2026-04,21694,0,0,0,0,0,1
EMI02,2026-05,22383,0.000357414108922,0.000357414108922,0.00120627261761,0.0154134834473,0.000402090872537,0.982263324845
EMI02,2026-06,21648,0.102642276423,0.0163525498891,0.0650868440503,0.0947431633407,0.349501108647,0.37167405765
EMI03,2025-12,22581,0.0817501439263,0.0827244143306,0.217218015145,0.3216863735,0.221247951818,0.0753731012798
EMI03,2026-01,22568,0.0972172988302,0.0660669975186,0.261476426799,0.23147819922,0.271180432471,0.0725806451613
EMI03,2026-02,20332,0.0715128860909,0.0343793035609,0.200177060791,0.379942947078,0.240851859138,0.0731359433405
EMI03,2026-03,22463,0.123625517518,0.0622356764457,0.206383831189,0.245158705427,0.289453768419,0.0731425010016
EMI03,2026-04,21694,0.132709504932,0.0456808334102,0.112888356228,0.259703143726,0.37581819858,0.0731999631234
EMI03,2026-05,22383,0.0925702542108,0.0404324710718,0.137738462226,0.293615690479,0.357414108922,0.0782290130903
EMI03,2026-06,21648,0.126293422025,0.0305801921656,0.107677383592,0.148189209165,0.508407243163,0.0788525498891
EMI04,2025-12,22581,0.107302599531,0.0639475665382,0.217350870201,0.297551038484,0.238519108985,0.0753288162615
EMI04,2026-01,22568,0.12305033676,0.0618131868132,0.239631336406,0.210386387806,0.292759659695,0.0723590925204
EMI04,2026-02,20332,0.0813495966949,0.0319693094629,0.215669879992,0.336563053315,0.261705685619,0.0727424749164
EMI04,2026-03,22463,0.158749944353,0.0500823576548,0.191559453323,0.21960557361,0.306904687709,0.0730979833504
EMI04,2026-04,21694,0.190605697428,0.026735502904,0.0799299345441,0.241725822808,0.388125749055,0.0728772932608
EMI04,2026-05,22383,0.129160523612,0.0267613814055,0.119242282089,0.280659429031,0.365813340482,0.0783630433811
EMI04,2026-06,21648,0.142045454545,0.0233739837398,0.0976071692535,0.13964338507,0.518431263858,0.0788987435329
EMI05,2025-12,22581,0.00447278685621,0.0122226650724,0.0933971037598,0.103892653115,0.0247553252735,0.761259465923
EMI05,2026-01,22568,0.128278979085,0.0585342077278,0.209101382488,0.244682736618,0.285359801489,0.0740428925913
EMI05,2026-02,20332,0.0918748770411,0.0369860318709,0.213899272083,0.323480228212,0.264066496164,0.0696930946292
EMI05,2026-03,22463,0.16293460357,0.0489248987223,0.191737523928,0.209232960869,0.315274006143,0.0718960067667
EMI05,2026-04,21694,0.195722319535,0.0208813496819,0.0906241357057,0.22849635844,0.391214160597,0.0730616760395
EMI05,2026-05,22383,0.136934280481,0.0250189876245,0.127686190412,0.263458875039,0.372246794442,0.0746548720011
EMI05,2026-06,21648,0.133869179601,0.022034368071,0.0949741315595,0.12684774575,0.545870288248,0.0764042867701
