source_sheet,date,maintenance_type,area,equipment,trouble_description,action,start_time,stop_time,status,is_weather_station
Desember 2024,2024-12-12,Preventive,Powerhouse,MV Switchgear,Interlock Test MV Switchgear,Normal Shutdown and Start,18:00:00,22:00:00,Close,False
Desember 2024,2024-12-13,Corrective,Powerhouse,Powerhouse Toilet,Blocked Toilet,Fixing blocked toilet,09:00:00,17:00:00,Close,False
Desember 2024,2024-12-13,Preventive,Powerhouse,Busbar 2 GI & Powerhouse,Energize request on Busbar 2 from Sembcorp,Energizing Busbar 2 on GI and Powerhouse,18:00:00,22:00:00,Close,False
Desember 2024,2024-12-14,Corrective,Powerhouse,Powerhouse Toilet,Blocked Toilet,Fixing blocked toilet,09:00:00,17:00:00,Close,False
Desember 2024,2024-12-15,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-16,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-16,Preventive,Powerhouse,STS 8 & STS 10,Energize STS 8 & STS 10,"Operating MV Switchgear, STS 8, and STS 10",18:00:00,22:00:00,Close,False
Desember 2024,2024-12-17,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-17,Preventive,Powerhouse,"All STS, All MV Switchgears",Internal Outage,Outage Busbar 1 and 2 due to Hipot test MV cable Incoming #4 and #7,21:00:00,00:00:00,Close,False
Desember 2024,2024-12-18,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-18,Preventive,Powerhouse,"All STS, All MV Switchgears",Internal Outage,Outage Busbar 1 and 2 due to phase squence test in BESS 1 and 2.,20:00:00,03:00:00,Close,False
Desember 2024,2024-12-19,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-19,Preventive,Powerhouse,STS 3,Internal Outage,"LV-A its unable to close by Local, Enspire and SCADA",10:00:00,10:00:00,Close,False
Desember 2024,2024-12-19,Preventive,Powerhouse,STS 5,Internal Outage,"VCB G2, LV-A and LV-B its unable to close by Enspire and SCADA",10:00:00,10:00:00,Close,False
Desember 2024,2024-12-19,Preventive,Powerhouse,STS 7,"Energize STS 7, STS BESS 2, STS BESS 3","Operating MV Switchgear, STS 7, STS BESS 2, STS BESS 3",21:00:00,00:00:00,Close,False
Desember 2024,2024-12-20,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-20,Preventive,Powerhouse,STS 1,Internal Outage,Outage STS 1 due to completion charging DTS in STS BESS 1,00:00:00,08:00:00,Close,False
Desember 2024,2024-12-20,Preventive,Powerhouse,STS BESS 1 & STS 9,Energize STS BESS 1 & STS 9,"Operating MV Switchgear, STS BESS 1, STS 9",21:00:00,01:00:00,Close,False
Desember 2024,2024-12-21,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-22,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-23,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-24,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-25,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-26,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-27,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-28,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-29,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-29,Corrective,PV Module,PV Table,PV String Loss,Troubleshooting by insulation resistance test on PV String S121-11,10:00:00,22:00:00,Close,False
Desember 2024,2024-12-30,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-31,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-31,Corrective,Powerhouse,STS 8 & STS 10,Communication Loss,Reading condition on SCADA was always at its last state and Enspire could not be accessed,09:00:00,09:00:00,Close,False
Desember 2024,2024-12-31,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Overvoltage on OG.1 GSK.3 and Outgoing Busbar 1 to Powerhouse,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",08:12:00,08:21:00,Close,False
Desember 2024,2024-12-31,Corrective,Powerhouse,MV Switchgear,External Trip Overvoltage on Outgoing Busbar 1 to PLTS 20 kV Substation,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",08:12:00,08:26:00,Close,False
Januari 2025,2025-01-01,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-02,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-02,Preventive,Powerhouse and PLTS 20 kV Substation,"Busbar 1 MV Switchgear, STS 1 - STS 5",External Outage,"Request outage Outgoing to PH, OG.1 GSK 3, and OG.2 GSK 2 due to change of Tap CT Ratio and Reconfiguration of GFR Protection Function in GSK Substation",11:00:00,16:00:00,Close,False
Januari 2025,2025-01-03,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-03,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Earth Fault stage 2 on OG.3 NST.5,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",12:41:00,13:37:00,Close,False
Januari 2025,2025-01-03,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Overcurrent on Outgoing Busbar 2 to Powerhouse,"Normal shutdown, Reset alarm relay, Resetting pickup value relay, Close CB, and Normal start",14:14:00,15:09:00,Close,False
Januari 2025,2025-01-03,Corrective,Powerhouse,MV Switchgear,"External Trip Undervoltage on Powerhouse Busbar 1 (Incoming 1, Incoming 2, Incoming 3, Incoming 4, and Outgoing 1 to PLTS 20 kV Substation)","Normal shutdown, Reset alarm relay, Resetting pickup value relay, Close CB, and Normal start",14:14:00,15:15:00,Close,False
Januari 2025,2025-01-04,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-04,Preventive,Powerhouse,"MV Switchgear, STS3, STS 4, STS 5",Internal Outage,"Request outage Incoming 3, Incoming 4, STS 3, STS 4, STS 5 due to connection of weather station cable and communication cable in STS 4 and STS 5",18:52:00,20:40:00,Close,False
Januari 2025,2025-01-05,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Overcurrent stage 2 on OG.1 due to auto reclose at GSK.3 in Gersik Substation,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",06:20:00,07:09:00,Close,False
Januari 2025,2025-01-05,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-06,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-07,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-07,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Overcurrent stage 2 on OG.5 NST.3 and OG.4 NST.2,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",11:18:00,12:10:00,Close,False
Januari 2025,2025-01-08,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-08,Corrective,PV Module,Water pipe,Repair water installation,finding and fixing the cause of the damage,09:00:00,17:00:00,Close,False
Januari 2025,2025-01-09,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-09,Corrective,PV Module,Water pipe,Repair water installation,finding and fixing the cause of the damage,09:00:00,17:00:00,Close,False
Januari 2025,2025-01-10,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-10,Corrective,PV Module,Water pipe,Repair water installation,finding and fixing the cause of the damage,09:00:00,17:00:00,Close,False
Januari 2025,2025-01-11,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-11,Preventive,PV Module,Water pipe,Repair water installation,finding and fixing the cause of the damage,10:00:00,17:00:00,Close,False
Januari 2025,2025-01-12,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-12,Preventive,Powerhouse and Operator House,Water taps,Addition of water taps,For cleanliness and herbicide stirring facilities,10:00:00,17:00:00,Close,False
Januari 2025,2025-01-12,Preventive,Powerhouse and Operator House,Power socket,Addition of power socket,For make it easier to use an outdoor sprayer,10:00:00,17:00:00,Close,False
Januari 2025,2025-01-13,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
